cd_UGestora,dt_Ano,cd_UnidOrcamentaria,nu_Empenho,nu_Parcela,tp_Lancamento,vl_Pagamento,dt_Pagamento,cd_Conta,nu_ChequePag,nu_DebAut,cd_BancoRec,cd_AgenciaRec,nu_ContaRec,tp_FonteRecursos,dt_MesAno
201084,2013,20500,0002646,0000002,1,36657.2300,2013-12-30 00:00:00,000000170224,000000,,,,,2,122013
201084,2013,20500,0002646,0000003,1,2506.4700,2013-12-30 00:00:00,000000170224,000000,,,,,2,122013
201084,2013,20700,0000862,0000001,1,46076.4500,2013-07-04 00:00:00,000006473000,000000,,,,,0,072013
201085,2010,03001,0000277,0000001,1,1200.0000,2010-03-19 00:00:00,00000008607X,851060,,000,000000,000000000000,0,032010
201084,2013,20700,0002424,0000001,1,18310.0000,2013-12-05 00:00:00,000000080454,000000,,,,,0,122013
201084,2014,20500,0000785,0000001,1,25128.9100,2014-04-15 00:00:00,000000170224,000000,,,,,2,042014
201084,2014,20500,0000931,0000001,1,20500.0000,2014-05-22 00:00:00,000000170224,000000,,,,,2,052014
201084,2014,20500,0000331,0000001,1,32690.1200,2014-02-28 00:00:00,000000170224,000000,,,,,2,022014
201084,2012,20700,0008950,0000001,1,47666.9500,2012-12-03 00:00:00,000000173924,0,,,000000,000000000000,24,122012
201084,2012,20700,0008950,0000002,1,1486.2900,2012-12-03 00:00:00,000000173924,0,,,000000,000000000000,24,122012
201113,2012,02050,0003445,0000001,1,24398.1700,2012-10-05 00:00:00,000000123668,000000,00000100501,237,57754,157-0,19,102012
201113,2012,02050,0003776,0000001,1,20000.0000,2012-11-01 00:00:00,000000123668,000000,00000110101,237,57754,157-0,19,112012
201113,2012,02050,0003776,0000002,1,28907.6000,2012-11-06 00:00:00,000000123668,000000,00000110601,237,57754,157-0,19,112012
201113,2012,02050,0003911,0000001,1,31352.8500,2012-11-13 00:00:00,000000123668,000000,00000111301,237,57754,157-0,19,112012
201113,2012,02050,0004090,0000001,1,16389.4400,2012-11-30 00:00:00,000000123668,000000,00000113002,237,57754,157-0,19,112012
201113,2012,02050,0004151,0000001,1,29827.9800,2012-12-05 00:00:00,000000123668,000000,00000120501,237,57754,157-0,19,122012
201113,2012,02070,5001388,0000001,1,21546.0200,2012-08-29 00:00:00,000000141283,000000,00000082901,,,,14,082012
201113,2012,02070,5001740,0000001,1,6456.5600,2012-12-17 00:00:00,000000141305,000000,00000121701,,,,14,122012
201113,2012,02070,5001749,0000001,1,11553.9100,2012-11-14 00:00:00,000000141283,000000,00000111401,,,,14,112012
201113,2012,02070,5001904,0000001,1,10525.3600,2012-11-29 00:00:00,000000141283,000000,00000024927,001,33960,24.927-0,14,112012
201113,2012,02070,5001985,0000001,1,30688.1500,2012-12-12 00:00:00,000000141283,000000,00000024927,001,33960,24.927-0,14,122012
201142,2010,20500,0006734,0000001,1,4102.2900,2010-02-26 00:00:00,000000403768,000000,,,,,0,022010
201142,2010,20500,0015211,0000001,1,136004.4100,2010-04-22 00:00:00,000006470234,000000,,,,,24,042010
201142,2010,20900,0004103,0000001,1,55313.7400,2010-02-04 00:00:00,000000134384,850009,,,,,0,022010
201142,2010,20900,0004103,0000002,1,899.4100,2010-02-25 00:00:00,000000134384,000000,,,,,0,022010
201142,2010,20900,0004103,0000003,1,26422.3700,2010-03-19 00:00:00,000000403768,852666,,,,,0,032010
201142,2010,20900,0004103,0000004,1,429.6300,2010-03-30 00:00:00,000000403768,000000,,,,,0,032010
201142,2010,20900,0004103,0000005,1,36408.0000,2010-05-05 00:00:00,000000403768,852688,,,,,0,052010
201142,2010,20900,0004103,0000006,1,592.0000,2010-05-06 00:00:00,000000403768,000000,,,,,0,052010
201142,2010,20900,0004103,0000007,1,25695.6400,2010-05-27 00:00:00,000000403768,852707,,,,,0,052010
201142,2010,20900,0004103,0000008,1,417.8200,2010-05-28 00:00:00,000000403768,000000,,,,,0,052010
201142,2010,20900,0022373,0000001,1,33246.6700,2010-05-27 00:00:00,000000403768,852708,,,,,0,052010
201142,2010,20900,0022373,0000002,1,540.6000,2010-05-28 00:00:00,000000403768,000000,,,,,0,052010
